01/07/2021;step.out;tfs_gas_temp_caixa.out1;tfs_gas_temp_cl.out1;tfs_gas_temp_entrada.out1;tfs_gas_temp_saida.out1;tfs_feeder_temp_caixa.out1;tfs_feeder_temp_cl.out1;tfs_feeder_temp_entrada.out1;tfs_feeder_temp_saida.out1;tfs_ve21_temp_caixa.out1;tfs_ve21_temp_cl.out1;tfs_ve21_temp_entrada.out1;tfs_ve21_temp_saida.out1;
01:25:26;1;0.252661;0.0003426;0.0491455;0.0637562;0;-0.0268236;-0.0416044;-0.0087996;-0.00956605;0.000134931;0.00131361;0.00180361;
01:25:27;1;0.254488;0.000398837;0.0497502;0.0647945;0;-0.0273763;-0.0421257;-0.00899725;-0.0096237;0.000142089;0.00133518;0.00183675;
01:25:28;1;0.256308;0.000459096;0.0503532;0.06583;0;-0.0279317;-0.0426461;-0.00919649;-0.00968082;0.00014939;0.00135669;0.00186993;
01:25:29;1;0.258121;0.00052333;0.0509544;0.0668627;0;-0.0284898;-0.0431656;-0.00939728;-0.00973744;0.000156832;0.00137815;0.00190314;
01:25:30;1;0.260128;0.0005993;0.0516204;0.0680066;0;-0.029113;-0.0437418;-0.00962218;-0.00979976;0.000165263;0.00140193;0.00194008;
01:25:31;1;0.261928;0.000671761;0.0522178;0.0690328;0;-0.0296765;-0.0442594;-0.0098262;-0.00985531;0.000172993;0.00142327;0.00197335;
01:25:32;1;0.263722;0.000748043;0.0528133;0.0700556;0;-0.0302425;-0.0447761;-0.0100317;-0.00991036;0.000180855;0.00144454;0.00200664;
01:25:33;1;0.265509;0.0008281;0.0534069;0.071075;0;-0.0308109;-0.0452917;-0.0102387;-0.00996492;0.000188846;0.00146575;0.00203994;
01:25:34;1;0.26729;0.000911883;0.0539984;0.0720908;0;-0.0313816;-0.0458062;-0.0104472;-0.010019;0.000196965;0.00148688;0.00207325;
01:25:35;1;0.269064;0.000999346;0.054588;0.0731029;0;-0.0319546;-0.0463198;-0.0106571;-0.0100726;0.000205207;0.00150795;0.00210656;
